Player Full Name,Birth Date,Year Start,Year End,Position,Height (ft 1/2),Height (inches 2/2),Height (in cm),Wingspan (in cm),Standing Reach (in cm),Hand Length (in inches),Hand Width (in inches),Weight (in lb),Body Fat (%),College
Adreian Payne,2/19/91,2015,2018,F-C,6,10,208.3,223.5,276.9,9.25,9.5,237,7.6%,Michigan State University
Adrian Branch,11/17/63,1987,1990,F-G,6,7,200.7,,,,,185,,University of Maryland
Adrian Caldwell,7/4/66,1990,1998,F-C,6,8,203.2,,,,,265,,Lamar University
Adrian Dantley,2/28/56,1977,1991,F-G,6,5,195.6,,,,,208,,University of Notre Dame
Adrian Griffin,7/4/74,2000,2008,G-F,6,5,195.6,,,,,217,,Seton Hall University
Adrian Smith,10/5/36,1962,1972,G,6,1,185.4,,,,,180,,University of Kentucky
Al Attles,11/7/36,1961,1971,G,6,0,182.9,,,,,175,,North Carolina Agricultural and Technical State University
Al Beard,4/27/42,1968,1968,C,6,9,205.7,,,,,200,,Norfolk State University
Al Bianchi,3/26/32,1957,1966,G,6,3,190.5,,,,,185,,Bowling Green State University
Al Brightman,9/22/23,1947,1947,F,6,2,188.0,,,,,195,,University of Charleston
Al Butler,7/9/38,1962,1965,G,6,2,188.0,,,,,175,,Niagara University
Al Carlson,9/17/51,1976,1976,C,6,11,210.8,,,,,235,,University of Oregon
Al Cervi,2/12/17,1950,1953,G-F,5,11,180.3,,,,,170,,
Al Cueto,8/2/46,1970,1971,C-F,6,7,200.7,,,,,230,,University of Tulsa
Al Eberhard,5/10/52,1975,1978,F,6,6,198.1,,,,,225,,University of Missouri
Al Ferrari,7/6/33,1956,1963,G-F,6,4,193.0,,,,,190,,Michigan State University
Al Fleming,4/5/54,1978,1978,F,6,7,200.7,,,,,215,,University of Arizona
Al Guokas,8/7/25,1950,1950,F-G,6,5,195.6,,,,,200,,Saint Joseph's University
Al Hairston,12/11/45,1969,1970,G,6,1,185.4,,,,,170,,Bowling Green State University
Al Harrington,2/17/80,1999,2014,F,6,9,205.7,,,,,230,,
Al Henry,2/9/49,1971,1972,C,6,9,205.7,,,,,190,,University of Wisconsin
Al Horford,6/3/86,2008,2018,C-F,6,10,208.3,215.3,271.8,,,245,9.1%,University of Florida
Al Jackson,7/29/43,1968,1968,G,6,1,185.4,,,,,185,,Wilberforce University
Al Jefferson,1/4/85,2005,2018,C-F,6,10,208.3,219.7,279.4,,,289,10.5%,
Al Lucas,7/4/22,1949,1949,F-G,6,3,190.5,,,,,195,,Fordham University
Al Lujack,10/5/20,1947,1947,F,6,3,190.5,,,,,220,,Georgetown University
Al Masino,2/5/28,1953,1954,G,5,10,177.8,,,,,174,,Canisius College
Al Miksis,2/2/28,1950,1950,C,6,7,200.7,,,,,210,,Western Illinois University
Al Negratti,6/12/21,1947,1947,F-C,6,3,190.5,,,,,200,,Seton Hall University
Al Roges,10/25/30,1954,1955,G-F,6,4,193.0,,,,,195,,Long Island University
Al Salvadori,5/6/45,1968,1968,F,6,9,205.7,,,,,220,,University of South Carolina
Al Sanders,1/1/50,1973,1973,F,6,7,200.7,,,,,240,,Louisiana State University
Al Skinner,6/16/52,1975,1980,G,6,3,190.5,,,,,190,,University of Massachusetts Amherst
Al Smith,1/15/47,1972,1976,G,6,1,185.4,,,,,185,,Bradley University
Al Thornton,12/7/83,2008,2011,F,6,8,203.2,215.9,264.2,,,220,5.8%,Florida State University
Al Tucker,2/24/43,1968,1972,F,6,8,203.2,,,,,190,,Oklahoma Baptist University
Al Williams,2/3/48,1971,1971,F,6,6,198.1,,,,,200,,Drake University
Al Wood,6/2/58,1982,1987,G-F,6,6,198.1,,,,,193,,University of North Carolina
Alaa Abdelnaby,8/30/68,1991,1995,F-C,6,10,208.3,,,,,240,,Duke University
Alan Anderson,10/16/82,2006,2017,G-F,6,6,198.1,207.0,264.2,,,220,,Michigan State University
Alan Hardy,5/25/57,1981,1982,F,6,7,200.7,,,,,195,,University of Michigan
Alan Henderson,12/2/72,1996,2007,F,6,9,205.7,,,,,235,,Indiana University
Alan Ogg,7/5/67,1991,1993,C,7,2,218.4,,,,,240,,University of Alabama at Birmingham
Alan Sawyer,1/1/28,1951,1951,F,6,5,195.6,,,,,195,,"University of California, Los Angeles"
Alan Williams,1/28/93,2016,2017,F-C,6,8,203.2,217.8,270.5,8.5,9.5,260,12.0%,"University of California, Santa Barbara"
Alando Tucker,2/11/84,2008,2010,F,6,6,198.1,,,,,205,,University of Wisconsin
Albert King,12/17/59,1982,1992,F-G,6,6,198.1,,,,,190,,University of Maryland
Alec Burks,7/20/91,2012,2018,G,6,6,198.1,208.3,262.9,9,8.25,214,5.1%,University of Colorado
Alec Kessler,1/13/67,1991,1994,F-C,6,11,210.8,,,,,230,,University of Georgia
Alec Peters,4/13/95,2018,2018,F,6,9,205.7,210.2,266.7,8.75,10,232,8.8%,Valparaiso University
Aleksandar Djordjevic,8/26/67,1997,1997,G,6,2,188.0,,,,,198,,
Aleksandar Radojevic,8/8/76,2000,2005,C,7,3,221.0,,,,,250,,Barton County Community College
Alex Abrines,8/1/93,2017,2018,G-F,6,6,198.1,,,,,190,,
Alex Acker,1/21/83,2006,2009,G,6,5,195.6,213.4,260.4,,,185,,Pepperdine University
Alex Blackwell,6/27/70,1993,1993,F,6,6,198.1,,,,,250,,Monmouth University
Alex Bradley,10/30/59,1982,1982,F,6,6,198.1,,,,,215,,Villanova University
Alex Caruso,2/28/94,2018,2018,G,6,5,195.6,,,,,186,,Texas A&M University
Alex English,1/5/54,1977,1991,F,6,7,200.7,,,,,190,,University of South Carolina
Alex Garcia,3/4/80,2004,2005,G,6,3,190.5,,,,,220,,
Alex Groza,10/7/26,1950,1951,C,6,7,200.7,,,,,218,,University of Kentucky
Alex Hannum,7/19/23,1950,1957,F-C,6,7,200.7,,,,,210,,University of Southern California
Alex Kirk,11/14/91,2015,2015,C,7,0,213.4,222.3,278.1,9.25,10.5,245,13.6%,University of New Mexico
Alex Len,6/16/93,2014,2018,C,7,1,215.9,222.3,0.0,9,10.75,260,6.4%,University of Maryland
Alex Poythress,9/6/93,2017,2018,F,6,7,200.7,,,,,238,,University of Kentucky
Alex Scales,7/3/78,2006,2006,G,6,4,193.0,205.7,247.7,,,185,,University of Oregon
Alex Stepheson,8/7/87,2016,2016,F,6,10,208.3,,,,,270,,University of Southern California
Alex Stivrins,11/29/62,1986,1993,F,6,8,203.2,,,,,220,,University of Colorado
Alexander Johnson,2/8/83,2007,2008,F,6,9,205.7,,,,,240,,Florida State University
Alexander Volkov,3/28/64,1990,1992,C,6,10,208.3,,,,,218,,
Alexey Shved,12/16/88,2013,2015,G,6,6,198.1,,,,,190,,
Alexis Ajinca,5/6/88,2009,2017,C,7,2,218.4,,,,,248,,
Al-Farouq Aminu,9/21/90,2011,2018,F,6,9,205.7,221.6,275.6,9.5,9.5,220,8.2%,Wake Forest University
Alfonzo McKinnie,9/17/92,2018,2018,F,6,8,203.2,,,,,215,,University of Wisconsin-Green Bay
Alfred McGuire,9/7/28,1952,1955,G-F,6,2,188.0,,,,,180,,St. John's University
Alfredrick Hughes,7/19/62,1986,1986,F-G,6,5,195.6,,,,,215,,Loyola University of Chicago
Allan Bristow,8/23/51,1974,1983,F-G,6,7,200.7,,,,,210,,Virginia Polytechnic Institute and State University
Allan Houston,4/20/71,1994,2005,G,6,6,198.1,,,,,200,,University of Tennessee
Allan Ray,6/17/84,2007,2007,G,6,2,188.0,204.5,252.7,,,190,9.8%,Villanova University
Allen Crabbe,4/9/92,2014,2018,G-F,6,6,198.1,211.5,262.9,8.25,8.5,210,4.7%,University of California
Allen Iverson,6/7/75,1997,2010,G,6,0,182.9,,,,,165,,Georgetown University
Allen Leavell,5/27/57,1980,1989,G,6,1,185.4,,,,,170,,Oklahoma City University
Allen Murphy,7/15/52,1976,1977,G,6,5,195.6,,,,,190,,University of Louisville
Allie McGuire,7/10/51,1974,1974,G,6,3,190.5,,,,,175,,Marquette University
Alonzo Bradley,10/16/53,1978,1980,F,6,6,198.1,,,,,190,,Texas Southern University
Alonzo Gee,5/29/87,2010,2017,G,6,6,198.1,,,,,225,,University of Alabama
Alonzo Mourning,2/8/70,1993,2008,C,6,10,208.3,,,,,240,,Georgetown University
Alphonso Ford,10/31/71,1994,1995,G,6,1,185.4,,,,,190,,Mississippi Valley State University
Alton Ford,5/29/81,2002,2004,F,6,9,205.7,209.6,260.4,,,275,8.0%,University of Houston
Alton Lister,10/1/58,1982,1998,C-F,7,0,213.4,,,,,240,,Arizona State University
Alvan Adams,7/19/54,1976,1988,C-F,6,9,205.7,,,,,210,,University of Oklahoma
Alvin Heggs,12/12/67,1996,1996,F,6,8,203.2,,,,,225,,University of Texas at Austin
Alvin Jones,9/9/78,2002,2002,C,6,11,210.8,,,,,265,,Georgia Institute of Technology
Alvin Robertson,7/22/62,1985,1996,G,6,3,190.5,,,,,185,,University of Arkansas
Alvin Scott,9/14/55,1978,1985,F-G,6,7,200.7,,,,,185,,Oral Roberts University
Alvin Sims,10/18/74,1999,1999,G,6,4,193.0,,,,,235,,University of Louisville
Alvin Williams,8/6/74,1998,2007,G,6,5,195.6,,,,,185,,Villanova University
Amal McCaskill,10/28/73,1997,2004,F-C,6,11,210.8,,,,,235,,Marquette University
Amar'e Stoudemire,11/16/82,2003,2016,F-C,6,10,208.3,217.8,275.6,,,245,,
Amir Johnson,5/1/87,2006,2018,F-C,6,9,205.7,,,,,240,,
Anderson Varejao,9/28/82,2005,2017,F-C,6,10,208.3,,,,,273,,
Andrae Patterson,11/12/75,1999,2000,F,6,9,205.7,,,,,238,,Indiana University
Andray Blatche,8/22/86,2006,2014,F,6,11,210.8,,,,,235,,
Andre Barrett,2/21/82,2005,2008,G,5,10,177.8,185.4,233.7,,,172,6.7%,Seton Hall University
Andre Brown,5/12/81,2007,2009,F,6,9,205.7,210.8,271.8,,,245,6.0%,DePaul University
Andre Dawkins,9/19/91,2015,2015,G,6,5,195.6,,,,,215,,Duke University
Andre Drummond,8/10/93,2013,2018,C,6,11,210.8,229.2,278.1,9.5,9.5,279,7.5%,University of Connecticut
Andre Emmett,8/27/82,2005,2012,F,6,5,195.6,205.7,254.0,,,230,6.7%,Texas Tech University
Andre Iguodala,1/28/84,2005,2018,G-F,6,6,198.1,210.8,268.0,,,215,6.7%,University of Arizona
Andre McCarter,8/25/53,1977,1981,G,6,3,190.5,,,,,190,,"University of California, Los Angeles"
Andre Miller,3/19/76,2000,2016,G,6,3,190.5,,,,,200,,University of Utah
Andre Moore,7/2/64,1988,1988,F,6,9,205.7,,,,,215,,Loyola University of Chicago
Andre Owens,10/31/80,2006,2008,G,6,4,193.0,,,,,200,,University of Houston
Andre Roberson,12/4/91,2014,2018,G-F,6,7,200.7,210.8,265.4,8.75,9.5,210,7.1%,University of Colorado
Andre Spencer,7/20/64,1993,1994,F,6,6,198.1,,,,,210,,Northern Arizona University
Andre Turner,12/13/64,1987,1992,G,5,11,180.3,,,,,160,,University of Memphis
Andre Wakefield,1/11/55,1979,1980,G,6,3,190.5,,,,,175,,Loyola University of Chicago
Andrea Bargnani,10/26/85,2007,2016,F-C,7,0,213.4,,,,,245,,
Andreas Glyniadakis,8/21/81,2007,2007,C,7,1,215.9,,,,,280,,
Andrei Kirilenko,2/18/81,2002,2015,F,6,9,205.7,,,,,220,,
Andres Guibert,10/28/68,1994,1995,F-C,6,10,208.3,,,,,225,,
Andres Nocioni,11/30/79,2005,2012,F,6,7,200.7,,,,,225,,
Andrew Anderson,7/6/45,1968,1970,G,6,2,188.0,,,,,184,,Canisius College
Andrew Bogut,11/28/84,2006,2018,C,7,0,213.4,221.0,280.7,,,260,,University of Utah
Andrew Bynum,10/27/87,2006,2014,C,7,0,213.4,,,,,285,,
Andrew DeClercq,2/1/73,1996,2005,F-C,6,10,208.3,,,,,230,,University of Florida
Andrew Gaze,7/24/65,1994,1999,G,6,7,200.7,,,,,205,,Seton Hall University
Andrew Goudelock,12/7/88,2012,2016,G,6,3,190.5,193.7,245.1,8.25,9.25,200,9.9%,College of Charleston
Andrew Harrison,10/28/94,2017,2018,G,6,6,198.1,205.7,254.0,8.25,9.25,213,5.9%,University of Kentucky
Andrew Lang,6/28/66,1989,2000,C,6,11,210.8,,,,,245,,University of Arkansas
Andrew Levane,4/11/20,1949,1953,F-G,6,2,188.0,,,,,190,,St. John's University
Andrew Nicholson,12/8/89,2013,2017,F,6,9,205.7,223.5,271.8,10,10.75,250,7.6%,St. Bonaventure University
Andrew Toney,11/23/57,1981,1988,G,6,3,190.5,,,,,178,,University of Louisiana at Lafayette
Andrew Wiggins,2/23/95,2015,2018,F-G,6,8,203.2,,,,,199,,University of Kansas
Andris Biedrins,4/2/86,2005,2014,C,6,11,210.8,0.0,0.0,,,240,9.3%,
Andy Duncan,4/17/22,1949,1951,F-C,6,6,198.1,,,,,195,,College of William & Mary
Andy Johnson,11/8/32,1959,1962,F-G,6,5,195.6,,,,,215,,University of Portland
Andy Kostecka,2/10/21,1949,1949,F,6,3,190.5,,,,,203,,Georgetown University
Andy O'Donnell,3/10/25,1950,1950,G,6,1,185.4,,,,,180,,Loyola College in Maryland
Andy Panko,11/27/77,2001,2001,F,6,9,205.7,,,,,222,,Lebanon Valley College
Andy Phillip,3/7/22,1948,1958,G-F,6,2,188.0,,,,,195,,University of Illinois at Urbana-Champaign
Andy Rautins,11/2/86,2011,2011,G,6,4,193.0,200.7,254.0,8,9.75,190,6.2%,Syracuse University
Andy Tonkovich,11/1/22,1949,1949,G,6,1,185.4,,,,,185,,Marshall University
Andy Toolson,1/19/66,1991,1996,G-F,6,6,198.1,,,,,210,,Brigham Young University
Andy Walker,3/25/55,1977,1977,G,6,4,193.0,,,,,190,,Niagara University
Anfernee Hardaway,7/18/71,1994,2008,G-F,6,7,200.7,,,,,195,,University of Memphis
Angelo Musi,7/25/18,1947,1949,G,5,9,175.3,,,,,145,,Temple University
Ansley Truitt,8/24/50,1973,1973,C,6,9,205.7,,,,,215,,University of California
Ansu Sesay,7/29/76,2002,2005,F,6,9,205.7,,,,,225,,University of Mississippi
Antawn Jamison,6/12/76,1999,2014,F,6,8,203.2,,,,,223,,University of North Carolina
Ante Zizic,1/4/97,2018,2018,F-C,6,11,210.8,,,,,250,,
Anthony Avent,10/18/69,1993,2000,F,6,9,205.7,,,,,235,,Seton Hall University
Anthony Bennett,3/14/93,2014,2017,F,6,8,203.2,,,,,245,,"University of Nevada, Las Vegas"
Anthony Bonner,6/8/68,1991,1996,F,6,8,203.2,,,,,215,,Saint Louis University
Anthony Bowie,11/9/63,1989,1998,G-F,6,6,198.1,,,,,190,,University of Oklahoma
Anthony Brown,10/10/92,2016,2017,F-G,6,7,200.7,210.8,265.4,8.5,9,210,6.1%,Stanford University
Anthony Carter,6/16/75,2000,2012,G,6,1,185.4,,,,,190,,University of Hawaii
Anthony Cook,3/19/67,1991,1996,F-C,6,9,205.7,,,,,205,,University of Arizona
Anthony Davis,3/11/93,2013,2018,F-C,6,10,208.3,227.3,274.3,9,8.5,253,7.9%,University of Kentucky
Anthony Frederick,12/7/64,1989,1992,F,6,7,200.7,,,,,205,,Pepperdine University
Anthony Goldwire,9/6/71,1996,2006,G,6,1,185.4,,,,,182,,University of Houston
Anthony Grundy,4/15/79,2006,2006,G,6,3,190.5,202.6,251.5,,,180,,North Carolina State University
Anthony Johnson,10/2/74,1998,2010,G,6,3,190.5,,,,,190,,College of Charleston
Anthony Jones,9/13/62,1987,1990,G-F,6,6,198.1,,,,,195,,"University of Nevada, Las Vegas"
Anthony Mason,12/14/66,1990,2003,F,6,7,200.7,,,,,250,,Tennessee State University
Anthony Miller,10/22/71,1995,2005,F,6,9,205.7,,,,,225,,Michigan State University
Anthony Morrow,9/27/85,2009,2017,G,6,5,195.6,,,,,210,,Georgia Institute of Technology
Anthony Parker,6/19/75,1998,2012,G,6,6,198.1,,,,,215,,Bradley University
Anthony Peeler,11/25/69,1993,2005,G,6,4,193.0,,,,,208,,University of Missouri
Anthony Pullard,6/23/66,1993,1993,F,6,10,208.3,,,,,245,,McNeese State University
Anthony Randolph,7/15/89,2009,2014,F,6,10,208.3,221.0,276.9,,,205,4.7%,Louisiana State University
Anthony Roberson,2/14/83,2006,2009,G,6,2,188.0,189.9,241.3,,,180,,University of Florida
Anthony Roberts,4/15/55,1978,1984,F-G,6,5,195.6,,,,,185,,Oral Roberts University
Anthony Taylor,11/30/65,1989,1989,G,6,4,193.0,,,,,175,,University of Oregon
Anthony Tolliver,6/1/85,2009,2018,F-C,6,8,203.2,219.7,273.1,,,240,5.7%,Creighton University
Anthony Tucker,4/4/69,1995,1995,F,6,8,203.2,,,,,220,,Wake Forest University
Antoine Carr,7/23/61,1985,2000,F-C,6,9,205.7,,,,,225,,Wichita State University
Antoine Rigaudeau,12/17/71,2003,2003,G,6,7,200.7,,,,,210,,
Antoine Walker,8/12/76,1997,2008,F,6,8,203.2,,,,,224,,University of Kentucky
Antoine Wright,2/6/84,2006,2011,G-F,6,7,200.7,205.1,265.4,,,210,,Texas A&M University
Antonio Anderson,6/5/85,2010,2010,G,6,6,198.1,,,,,215,,University of Memphis
Antonio Blakeney,10/4/96,2018,2018,G,6,4,193.0,,,,,197,,Louisiana State University
Antonio Burks,2/25/80,2005,2006,G,6,1,185.4,199.4,245.1,,,200,9.9%,University of Memphis
Antonio Daniels,3/19/75,1998,2011,G,6,4,193.0,,,,,195,,Bowling Green State University
Antonio Davis,10/31/68,1994,2006,F-C,6,9,205.7,,,,,215,,University of Texas at El Paso
Antonio Harvey,7/6/70,1994,2003,F-C,6,11,210.8,,,,,225,,Pfeiffer University
Antonio Lang,5/15/72,1995,2000,F-G,6,8,203.2,,,,,205,,Duke University
Antonio McDyess,9/7/74,1996,2011,F-C,6,9,205.7,,,,,220,,University of Alabama
Antonis Fotsis,4/1/81,2002,2002,F,6,10,208.3,204.5,269.2,,,219,,
Antonius Cleveland,2/2/94,2018,2018,G,6,6,198.1,,,,,195,,Southeast Missouri State University
Archie Clark,7/15/41,1967,1976,G,6,2,188.0,,,,,175,,University of Minnesota
Archie Dees,2/22/36,1959,1962,F-C,6,8,203.2,,,,,205,,Indiana University
Archie Goodwin,8/17/94,2014,2017,G,6,5,195.6,207.0,259.1,8.5,9,200,4.6%,University of Kentucky
Ariel Maughan,2/23/23,1947,1951,F,6,4,193.0,,,,,190,,Utah State University
Arinze Onuaku,7/13/87,2014,2017,C,6,9,205.7,,,,,255,,Syracuse University
Armand Cure,8/1/19,1947,1947,F,6,0,182.9,,,,,198,,University of Rhode Island
Armen Gilliam,5/28/64,1988,2000,F-C,6,9,205.7,,,,,230,,"University of Nevada, Las Vegas"
Armon Johnson,2/23/89,2011,2012,G,6,3,190.5,203.2,252.7,8.25,9.25,195,5.6%,"University of Nevada, Reno"
Armond Hill,3/31/53,1977,1984,G,6,4,193.0,,,,,190,,Princeton University
Arnett Moultrie,11/18/90,2013,2014,F,6,11,210.8,219.1,270.5,9.25,9.25,249,7.7%,Mississippi State University
Arnie Ferrin,7/29/25,1949,1951,F-G,6,2,188.0,,,,,180,,University of Utah
Arnie Johnson,5/16/20,1949,1953,F-C,6,5,195.6,,,,,236,,Bemidji State University
Arnie Risen,10/9/24,1949,1958,C-F,6,9,205.7,,,,,200,,Ohio State University
Aron Baynes,12/9/86,2013,2018,C,6,10,208.3,,,,,260,,Washington State University
Arron Afflalo,10/15/85,2008,2018,G,6,5,195.6,,,,,210,,"University of California, Los Angeles"
Art Burris,4/7/24,1951,1952,F,6,5,195.6,,,,,220,,University of Tennessee
Art Collins,4/14/54,1981,1981,G,6,4,193.0,,,,,185,,St. Thomas University
Art Harris,1/13/47,1969,1972,G,6,4,193.0,,,,,185,,Stanford University
Art Heyman,6/24/41,1964,1970,F-G,6,5,195.6,,,,,205,,Duke University
Art Hillhouse,6/12/16,1947,1948,C,6,7,200.7,,,,,220,,Long Island University
Art Long,10/1/72,2001,2003,F,6,9,205.7,,,,,250,,University of Cincinnati
Art Spector,10/17/20,1947,1950,F,6,4,193.0,,,,,200,,Villanova University
Art Spoelstra,9/11/32,1955,1958,C,6,9,205.7,,,,,220,,Western Kentucky University
Art Stolkey,10/23/20,1947,1947,G,6,1,185.4,,,,,180,,University of Detroit Mercy
Art Williams,9/29/39,1968,1975,G,6,1,185.4,,,,,180,,"California State Polytechnic University, Pomona"
Arthur Becker,1/12/42,1968,1973,F,6,7,200.7,,,,,205,,Arizona State University
Artis Gilmore,9/21/49,1972,1988,C,7,2,218.4,,,,,240,,Jacksonville University
Arvesta Kelly,11/20/45,1968,1972,G,6,2,188.0,,,,,175,,Lincoln University of Missouri
Arvid Kramer,10/2/56,1980,1980,C,6,9,205.7,,,,,220,,Augustana College (SD)
Arvydas Macijauskas,1/19/80,2006,2006,G,6,4,193.0,,,,,214,,
Arvydas Sabonis,12/19/64,1996,2003,C,7,3,221.0,,,,,279,,
Ashraf Amaya,11/23/71,1996,1997,F,6,8,203.2,,,,,230,,Southern Illinois University
Askia Jones,12/3/71,1995,1995,G,6,5,195.6,,,,,200,,Kansas State University
Aubrey Davis,3/28/21,1947,1947,G-F,6,2,188.0,,,,,175,,Oklahoma Baptist University
Aud Brindley,12/31/23,1947,1947,F,6,4,193.0,,,,,175,,Dartmouth College
Audie Norris,12/18/60,1983,1985,C,6,9,205.7,,,,,230,,Jackson State University
Aulcie Perry,7/3/50,1975,1975,C,6,10,208.3,,,,,210,,Bethune-Cookman College
Austin Carr,3/10/48,1972,1981,G,6,4,193.0,,,,,200,,University of Notre Dame
Austin Croshere,5/1/75,1998,2009,F,6,9,205.7,,,,,235,,Providence College
Austin Daye,6/5/88,2010,2015,F,6,11,210.8,220.3,279.4,,,220,5.5%,Gonzaga University
Austin Rivers,8/1/92,2013,2018,G,6,4,193.0,201.3,245.1,8.5,10,200,6.2%,Duke University
Avery Bradley,11/26/90,2011,2018,G,6,2,188.0,201.3,250.2,8.25,9.5,180,4.0%,University of Texas at Austin
Avery Johnson,3/25/65,1989,2004,G,5,10,177.8,,,,,175,,Southern University and A&M College
Awvee Storey,4/18/77,2005,2008,G-F,6,6,198.1,,,,,222,,Arizona State University
Axel Toupane,7/23/92,2016,2017,G-F,6,7,200.7,,,,,197,,
B.J. Armstrong,9/9/67,1990,2000,G,6,2,188.0,,,,,175,,University of Iowa
B.J. Tyler,4/30/71,1995,1995,G,6,1,185.4,,,,,185,,University of Texas at Austin
Bailey Howell,1/20/37,1960,1971,F,6,7,200.7,,,,,210,,Mississippi State University
Bam Adebayo,7/18/97,2018,2018,C-F,6,10,208.3,,,,,243,,University of Kentucky
Barney Cable,7/29/35,1959,1964,F,6,7,200.7,,,,,175,,Bradley University
Baron Davis,4/13/79,2000,2012,G,6,3,190.5,,,,,209,,"University of California, Los Angeles"
Barry Clemens,5/1/43,1966,1976,F,6,6,198.1,,,,,210,,Ohio Wesleyan University
Barry Kramer,11/10/42,1965,1970,F-G,6,4,193.0,,,,,200,,New York University
Barry Liebowitz,9/10/45,1968,1968,G,6,2,188.0,,,,,180,,Long Island University
Barry Nelson,9/19/49,1972,1972,C,6,10,208.3,,,,,230,,Duquesne University
Barry Orms,5/1/46,1969,1970,G,6,3,190.5,,,,,190,,Saint Louis University
Barry Parkhill,5/10/51,1974,1976,G,6,4,193.0,,,,,185,,University of Virginia
Barry Stevens,1/17/63,1993,1993,G-F,6,5,195.6,,,,,195,,Iowa State University
Barry Sumpter,11/11/65,1989,1989,F-C,6,11,210.8,,,,,215,,Austin Peay State University
Barry Yates,1/30/46,1972,1972,F,6,7,200.7,,,,,215,,University of Maryland
Bart Kofoed,3/24/64,1988,1993,G,6,4,193.0,,,,,210,,University of Nebraska at Kearney
Bato Govedarica,4/17/28,1954,1954,G,5,11,180.3,,,,,185,,DePaul University
Bayard Forrest,7/8/54,1978,1979,C,6,10,208.3,,,,,235,,Grand Canyon University
Belus Smawley,3/20/18,1947,1952,G-F,6,1,185.4,,,,,195,,Appalachian State University
Ben Bentil,3/29/95,2017,2017,F,6,9,205.7,217.2,266.7,9.5,10,235,9.7%,Providence College
Ben Clyde,6/10/51,1975,1975,F,6,7,200.7,,,,,198,,Florida State University
Ben Coleman,11/14/61,1987,1994,F,6,9,205.7,,,,,235,,University of Maryland
Ben Davis,12/26/72,1997,2000,F,6,9,205.7,,,,,240,,University of Arizona
Ben Gillery,9/19/65,1989,1989,C,7,0,213.4,,,,,235,,Georgetown University
Ben Goldfaden,9/6/13,1947,1947,F,6,1,185.4,,,,,185,,George Washington University
Ben Gordon,4/4/83,2005,2015,G,6,3,190.5,204.5,251.5,,,200,5.3%,University of Connecticut
Ben Handlogten,11/16/73,2004,2005,C,6,10,208.3,,,,,240,,Western Michigan University
Ben Hansbrough,12/23/87,2013,2013,G,6,3,190.5,,,,,203,,University of Notre Dame
Ben Kelso,4/11/49,1974,1974,G,6,3,190.5,,,,,195,,Central Michigan University
