Year,Body,Injury,Severity,Position,Height (in cm),Wingspan (in cm),Standing Reach (in cm),Weight (in lb),Body Fat (%),Age,EndSeasonYear,Minutes,USG%,Games_Played,Fouls,Turnovers,Points,FT,3P,Steals,Assists,Offensive_Reb,Defensive_Reb
2012,knee,"torn', 'surgery",dnp,F,200.7,200.7,256.5,209.0,10.0%,24,2013,22.379310344827584,19.5,58.0,1.1206896551724137,0.9482758620689656,9.620689655172416,0.9310344827586208,1.5172413793103448,0.5,1.2758620689655171,0.6551724137931034,3.0862068965517233
2011,back,spasms,dnp,G,198.1,,,215.0,,35,2011,28.25925925925927,12.0,81.0,1.8641975308641976,0.8765432098765432,7.345679012345679,0.9259259259259259,1.3333333333333333,0.7777777777777778,1.938271604938272,0.3703703703703704,2.4814814814814814
2013,hip,strained,dnp,G,195.6,,,210.0,,27,2013,26.387096774193548,21.6,62.0,1.3870967741935485,1.1290322580645162,12.048387096774194,1.564516129032258,1.7096774193548387,0.7419354838709677,0.9838709677419356,0.5,1.5483870967741935
2017,shoulder,sore,dtd,G-F,198.1,,,225.0,,30,2018,23.36842105263158,18.4,76.0,1.9868421052631584,0.5263157894736842,10.723684210526317,1.1052631578947372,2.223684210526316,0.6052631578947368,0.631578947368421,0.3947368421052632,2.6184210526315788
2016,hamstring,strained,dtd,G,182.9,193.7,236.2,175.0,,31,2017,32.7027027027027,27.1,74.0,2.5,2.621621621621621,19.54054054054054,3.972972972972973,1.6486486486486491,2.054054054054054,9.972972972972975,0.527027027027027,3.6621621621621614
2011,ankle,sprained,dnp,F,205.7,214.0,271.8,235.0,7.7%,22,2011,29.84615384615385,25.8,78.0,2.833333333333333,1.6794871794871795,14.82051282051282,2.4615384615384617,0.35897435897435903,1.0256410256410255,1.2820512820512822,1.5769230769230769,4.807692307692308
2015,groin,strained,dtd,F-C,205.7,214.6,270.5,235.0,6.7%,30,2015,19.942028985507246,19.0,69.0,1.9710144927536235,0.927536231884058,8.391304347826088,1.6956521739130437,0.0,0.4492753623188406,0.9710144927536232,1.8405797101449275,4.086956521739131
2012,knee,"surgery', 'torn",indefinitely,G,190.5,203.2,250.2,190.0,4.6%,24,2013,35.25641025641025,30.5,39.0,1.3333333333333333,3.051282051282051,21.846153846153847,4.9743589743589745,1.3846153846153846,0.8974358974358975,7.871794871794871,0.6666666666666666,2.6923076923076925
2013,knee,sore,dnp,F,200.7,212.1,262.9,228.0,,33,2014,24.08974358974359,20.2,78.0,1.7820512820512822,0.9230769230769232,10.423076923076923,0.9615384615384616,1.641025641025641,0.6538461538461539,1.0,0.5256410256410257,2.333333333333333
2012,foot,sore,dnp,C-F,210.8,,,220.0,,38,2013,22.35,11.5,40.0,2.2,1.175,3.8,0.45,0.0,0.825,1.875,2.625,6.225
2014,knee,sore,dtd,F-G,203.2,214.0,269.9,250.0,6.7%,29,2015,37.688311688311686,31.0,77.0,1.6363636363636365,3.5064935064935066,27.129870129870127,5.701298701298702,1.5064935064935066,1.5714285714285714,6.337662337662338,1.051948051948052,5.87012987012987
2012,groin,strained,dnp,G,198.1,,,230.0,,29,2012,32.44897959183673,17.7,49.0,1.4693877551020411,1.163265306122449,11.530612244897961,1.2244897959183674,2.142857142857143,1.5510204081632653,2.2857142857142856,0.4897959183673469,3.591836734693877
2012,foot,sore,dnp,G-F,200.7,215.3,271.8,225.0,9.6%,24,2012,16.12,16.2,25.0,1.44,1.0,4.4,0.72,0.0,0.64,0.8,0.68,2.72
2018,knee,injury,dtd,G,195.6,203.2,243.8,206.0,10.2%,25,2019,18.146341463414632,13.4,82.0,1.4634146341463414,0.5243902439024389,5.378048780487805,0.451219512195122,0.902439024390244,0.2804878048780488,1.1097560975609757,0.4390243902439024,1.5243902439024388
2014,calf,sore,dnp,G-F,200.7,211.5,262.9,220.0,5.0%,28,2014,15.456521739130435,13.6,46.0,0.5869565217391305,0.3043478260869565,3.608695652173913,0.3478260869565217,0.4782608695652174,0.7391304347826086,0.8695652173913043,0.6304347826086957,1.5434782608695652
2018,shoulder,strained,dtd,G,198.1,201.3,256.5,190.0,4.4%,26,2018,18.8,20.9,45.0,2.2666666666666666,1.4666666666666666,6.6,1.2888888888888892,0.3333333333333333,0.8444444444444444,2.5111111111111097,0.5333333333333333,2.8666666666666667
2014,knee,bruised,dtd,G-F,198.1,211.5,264.2,220.0,7.1%,25,2015,28.16666666666667,27.1,72.0,2.1527777777777777,2.4305555555555562,14.472222222222221,3.3194444444444446,0.2916666666666667,1.1666666666666667,5.041666666666667,1.0555555555555556,3.6805555555555554
2011,knee,sore,"rest', 'dnp",G,190.5,207.0,252.7,191.0,5.3%,29,2011,36.53125,31.9,32.0,2.96875,3.65625,22.5625,4.78125,1.96875,1.28125,7.1875,0.53125,3.625
2014,back,spasms,dnp,F-C,208.3,227.3,274.3,253.0,7.9%,21,2014,28.84375,21.8,64.0,2.46875,1.390625,13.546875,2.640625,0.0,1.171875,0.984375,2.578125,5.578125
2014,ankle,sprained,dnp,C-F,208.3,224.8,270.5,240.0,8.0%,26,2014,17.263157894736842,12.1,76.0,1.8289473684210529,0.5657894736842105,4.25,1.1710526315789471,0.0,0.5131578947368421,0.5657894736842105,1.4868421052631582,1.8157894736842104
2014,knee,"surgery', 'torn",dnp,G,175.3,185.4,232.4,180.0,6.7%,29,2014,25.439024390243894,25.1,82.0,2.524390243902439,1.7560975609756098,13.097560975609756,1.6463414634146345,1.7195121951219512,1.0365853658536586,4.365853658536587,0.35365853658536583,1.8902439024390243
2014,back,spasms,dnp,G-F,200.7,207.0,260.4,212.0,6.7%,33,2014,30.52702702702703,14.5,74.0,2.2972972972972974,0.9459459459459459,10.945945945945946,0.9054054054054054,2.5540540540540544,0.9459459459459459,1.9729729729729728,0.3108108108108108,3.6486486486486487
2013,foot,strained,dnp,C-F,210.8,,,220.0,,38,2013,22.35,11.5,40.0,2.2,1.175,3.8,0.45,0.0,0.825,1.875,2.625,6.225
2013,back,spasms,dnp,C,213.4,212.7,280.7,265.0,16.3%,31,2014,20.651515151515152,25.3,66.0,2.136363636363636,1.5606060606060606,10.5,1.0151515151515151,0.0,0.4393939393939394,0.7727272727272727,1.4696969696969695,4.166666666666667
2014,groin,strained,dnp,F-C,213.4,,,250.0,,33,2014,33.775510204081634,20.5,49.0,1.8979591836734693,2.122448979591837,13.734693877551019,2.5510204081632653,0.16326530612244894,0.4897959183673469,4.081632653061225,2.26530612244898,6.3265306122448965
2010,hamstring,strained,dnp,G,195.6,,,210.0,,25,2011,29.24637681159421,17.8,69.0,2.289855072463768,1.2173913043478262,13.028985507246375,1.463768115942029,2.028985507246377,0.9420289855072465,1.5072463768115942,0.8840579710144928,2.869565217391304
2017,knee,"surgery', 'torn",season,G,190.5,193.7,247.7,190.0,6.2%,30,2017,20.329268292682926,21.8,82.0,1.2439024390243902,1.4024390243902438,9.878048780487807,2.609756097560976,0.4390243902439024,0.5609756097560976,2.914634146341464,0.3048780487804878,2.1707317073170733
2017,knee,sprained,indefinitely,F,208.3,211.5,266.7,251.0,8.2%,28,2018,34.032786885245905,28.0,61.0,2.5737704918032787,2.3278688524590163,21.57377049180328,5.245901639344262,0.6229508196721312,0.9344262295081968,4.918032786885246,1.836065573770492,6.311475409836067
2012,knee,sore,dnp,F,200.7,,,220.0,,33,2012,28.1625,21.5,80.0,1.8,1.625,12.4875,1.575,0.0625,0.85,1.375,2.1,4.7875
2015,shoulder,sore,dtd,G,195.6,203.2,254.0,207.0,6.0%,22,2016,33.44444444444444,22.5,63.0,2.1587301587301586,1.9523809523809523,15.26984126984127,2.0634920634920637,1.6825396825396826,1.2063492063492065,3.0793650793650795,0.9047619047619048,2.9206349206349205
2013,foot,injury,dnp,G,193.0,,,210.0,,29,2014,21.823529411764707,21.7,68.0,1.3676470588235294,1.0147058823529411,9.485294117647056,0.9411764705882352,1.3088235294117647,0.4411764705882353,1.897058823529412,0.19117647058823528,1.9117647058823528
2012,knee,sore,dnp,G,190.5,201.9,254.0,200.0,,28,2012,26.69230769230769,22.8,13.0,1.9230769230769231,2.6153846153846154,10.769230769230768,3.0769230769230766,0.3076923076923077,1.0769230769230769,4.538461538461538,0.4615384615384616,2.769230769230769
2013,ankle,sprained,dnp,G,182.9,189.2,241.3,190.0,8.0%,31,2013,29.929824561403517,21.4,57.0,2.280701754385965,2.3684210526315788,11.859649122807017,1.2456140350877194,1.5263157894736843,0.6666666666666666,5.701754385964912,0.5087719298245614,2.6666666666666665
2012,hip,injury,dtd,G-F,193.0,205.7,259.1,213.0,6.7%,30,2012,20.75,19.9,72.0,2.2361111111111107,1.1944444444444444,8.930555555555555,1.9027777777777777,0.05555555555555555,1.7916666666666667,1.4444444444444444,0.9722222222222222,1.7083333333333333
2012,hip,injury,dnp,F-C,210.8,225.4,279.4,260.0,8.7%,26,2012,39.641975308641975,25.7,81.0,2.716049382716049,1.8888888888888888,21.839506172839503,4.333333333333333,0.04938271604938271,1.0123456790123455,2.098765432098765,3.4320987654320985,5.320987654320987
2011,knee,sore,dnp,C,215.9,,,255.0,,31,2011,22.7,10.3,30.0,3.1666666666666665,1.3,4.1,1.1,0.0,0.26666666666666666,0.26666666666666666,2.4,5.533333333333332
2018,back,injury,dtd,F,205.7,221.6,273.1,230.0,5.2%,24,2019,20.7283950617284,15.7,81.0,2.049382716049383,0.8271604938271605,7.271604938271606,0.6666666666666666,0.3580246913580247,0.7654320987654321,1.9629629629629632,0.9753086419753086,3.5185185185185186
2018,knee,sore,dtd,G,193.0,205.7,251.5,215.0,8.2%,29,2018,30.97333333333333,22.1,75.0,2.0,1.6133333333333333,16.226666666666667,1.96,3.28,0.64,2.506666666666667,0.38666666666666666,2.293333333333333
2012,knee,sore,dnp,F,203.2,219.7,270.5,250.0,9.3%,26,2012,26.052631578947373,19.8,76.0,2.0921052631578947,1.2763157894736843,11.23684210526316,2.5,0.0,0.35526315789473684,0.75,1.7631578947368418,3.8157894736842106
2012,hamstring,strained,dnp,G,182.9,193.7,236.2,175.0,,26,2012,36.0,21.1,80.0,2.45,2.2125,15.85,4.2125,0.8875,2.35,9.775,0.475,3.6125
2017,knee,bruised,dtd,G,195.6,,,195.0,,21,2018,28.74603174603175,26.6,63.0,2.0634920634920637,2.793650793650793,15.61904761904762,2.333333333333333,2.142857142857143,1.380952380952381,4.809523809523808,0.49206349206349204,3.0158730158730163
2014,calf,injury,dnp,G,195.6,208.3,260.4,200.0,,34,2014,29.342105263157894,26.0,76.0,0.9342105263157896,1.921052631578948,16.513157894736842,2.8421052631578947,1.9605263157894737,1.0394736842105263,2.5394736842105257,0.2894736842105263,1.3947368421052628
2012,foot,sprained,dtd,G,193.0,200.7,255.3,205.0,6.3%,22,2013,33.784615384615385,21.8,65.0,2.107692307692308,2.0769230769230766,13.523076923076925,1.4461538461538461,1.0,1.5846153846153843,4.461538461538462,0.8769230769230769,2.3846153846153846
2016,knee,sore,dtd,F,205.7,210.2,271.8,235.0,7.3%,28,2017,21.65714285714286,16.7,70.0,2.642857142857143,0.9428571428571428,7.5285714285714285,0.5714285714285714,0.6428571428571429,0.7571428571428571,1.3714285714285714,1.2285714285714286,2.9571428571428573
2016,wrist,sore,dtd,G,195.6,,,200.0,,31,2017,29.196078431372552,15.3,51.0,1.5490196078431373,0.9607843137254902,10.019607843137257,1.4901960784313726,1.0,1.0196078431372548,1.4901960784313726,0.3725490196078432,1.9411764705882355
2012,hamstring,strained,dnp,G,190.5,,,209.0,,32,2012,29.511627906976752,23.5,43.0,2.6511627906976742,2.488372093023256,12.83720930232558,1.837209302325581,1.0465116279069768,1.4418604651162792,6.953488372093022,0.6744186046511628,2.1162790697674416
2012,shoulder,strained,dnp,G,200.7,,,199.0,,29,2012,32.5375,29.6,80.0,1.9375,2.3,23.45,7.425,2.2,1.0,2.475,0.35,2.875
2012,foot,sprained,dnp,G,193.0,,,210.0,,27,2012,21.0625,20.6,80.0,1.85,0.975,9.7875,1.05,1.6125,0.3375,1.2,0.2625,2.1875
2016,calf,strained,dtd,G,190.5,198.8,248.9,200.0,,32,2017,32.4,22.0,65.0,2.3846153846153846,2.3076923076923075,14.123076923076924,2.7538461538461543,1.4923076923076923,0.9384615384615383,5.815384615384616,0.2923076923076923,2.6307692307692307
2017,ankle,sprained,dtd,F-C,210.8,215.9,274.3,240.0,6.8%,26,2018,17.67142857142857,14.8,70.0,1.3857142857142857,0.7857142857142857,6.2142857142857135,0.7,0.6571428571428571,0.42857142857142855,1.3571428571428572,1.0857142857142856,2.342857142857143
2015,back,spasms,dtd,G,193.0,,,190.0,,30,2015,28.2,21.8,35.0,1.8571428571428568,1.2,15.2,2.771428571428572,2.085714285714286,0.8,2.2285714285714286,0.2571428571428571,1.8571428571428568
2013,ankle,sore,dnp,C-F,210.8,219.1,275.6,265.0,11.2%,22,2013,31.54545454545455,23.6,66.0,2.727272727272727,2.4393939393939394,15.37878787878788,3.0454545454545454,0.0,1.2575757575757576,2.303030303030303,3.621212121212121,6.03030303030303
2016,hamstring,sore,dtd,G,193.0,,,190.0,,32,2017,27.96,22.6,75.0,1.8,1.04,16.346666666666668,2.4266666666666667,2.6666666666666665,0.56,1.413333333333333,0.13333333333333333,1.72
2014,knee,injury,dnp,G,190.5,194.3,248.9,205.0,9.3%,31,2014,18.435897435897434,18.5,39.0,1.0,1.358974358974359,6.7435897435897445,0.6153846153846154,0.3333333333333333,0.41025641025641024,3.5384615384615383,0.4358974358974359,1.564102564102564
2013,ankle,sprained,dnp,G,193.0,199.4,254.0,200.0,5.5%,25,2013,19.07843137254902,15.8,51.0,1.0980392156862746,0.5098039215686274,6.098039215686272,0.6274509803921569,0.6862745098039216,0.5098039215686274,0.6470588235294118,0.27450980392156865,1.6666666666666667
2018,knee,bruised,dtd,F-C,213.4,221.0,281.9,240.0,6.3%,24,2018,18.946666666666665,19.7,75.0,1.96,0.92,8.146666666666668,1.346666666666667,0.0,0.7066666666666667,1.0666666666666669,1.1333333333333333,3.3866666666666667
2013,shoulder,torn,dnp,C,210.8,224.8,283.2,265.0,10.5%,27,2013,38.333333333333336,26.1,54.0,2.9444444444444446,3.2407407407407414,20.61111111111111,5.203703703703703,0.0,1.5,1.9259259259259256,3.7037037037037037,10.833333333333336
2013,knee,sore,dnp,F,203.2,,,245.0,,28,2013,21.571428571428577,23.1,49.0,2.4285714285714284,1.3061224489795915,9.653061224489797,1.6530612244897958,1.2653061224489797,0.4693877551020408,0.9387755102040816,0.8571428571428571,3.204081632653061
2012,groin,strained,dnp,F,203.2,213.4,268.0,240.0,8.0%,27,2012,35.48,32.5,50.0,2.68,2.84,25.18,6.86,0.84,0.86,2.8,1.54,6.1
2015,calf,bruised,dtd,G,195.6,208.3,260.4,200.0,,34,2015,30.347826086956523,27.2,69.0,1.7391304347826086,1.9565217391304348,18.57971014492753,4.043478260869565,2.333333333333333,0.855072463768116,3.2318840579710137,0.4927536231884058,1.7971014492753623
2018,ankle,sprained,dtd,G,193.0,,,209.0,,25,2019,23.514285714285716,15.6,70.0,2.257142857142857,1.1,7.928571428571429,1.9,0.2571428571428571,0.8428571428571429,1.4857142857142858,1.2714285714285714,3.3857142857142857
2014,groin,strained,dtd,G-F,195.6,,,210.0,,28,2015,25.2,19.0,80.0,1.625,1.1875,11.3875,1.3875,1.575,0.625,2.2375,0.225,2.6
2014,ankle,sprained,dnp,F,205.7,216.5,268.0,260.0,10.7%,22,2014,19.822222222222226,14.9,45.0,3.4222222222222216,0.6444444444444445,6.0,1.0444444444444445,0.022222222222222227,0.4888888888888889,0.7777777777777778,2.0444444444444443,3.8222222222222224
2014,ankle,sore,dnp,G,188.0,201.3,250.2,180.0,4.0%,23,2014,28.7,18.8,50.0,2.58,1.44,9.22,0.74,0.8,1.28,2.08,0.6,1.62
2013,hamstring,strained,dnp,G,195.6,,,210.0,,27,2013,33.645161290322584,19.1,62.0,2.161290322580645,1.3709677419354838,15.209677419354836,3.177419354838709,1.4193548387096775,0.5806451612903226,2.403225806451613,0.6451612903225806,2.532258064516129
2016,hamstring,sore,dtd,G,182.9,193.7,236.2,175.0,,31,2017,32.7027027027027,27.1,74.0,2.5,2.621621621621621,19.54054054054054,3.972972972972973,1.6486486486486491,2.054054054054054,9.972972972972975,0.527027027027027,3.6621621621621614
2012,knee,bruised,dnp,G-F,198.1,211.5,264.2,220.0,7.1%,23,2013,34.31746031746032,23.8,63.0,2.1587301587301586,2.7142857142857144,16.460317460317462,3.1904761904761907,0.31746031746031744,1.3333333333333333,4.492063492063492,1.0158730158730158,3.571428571428572
2012,knee,tendinitis,dnp,G-F,198.1,210.8,268.0,215.0,6.7%,28,2012,36.85074626865672,19.2,67.0,1.6268656716417909,2.0597014925373136,14.1044776119403,3.1044776119402986,0.9104477611940298,1.507462686567164,6.298507462686567,0.9104477611940298,4.865671641791045
2011,ankle,sprained,dnp,G,188.0,,,190.0,,24,2011,19.071428571428573,14.2,56.0,1.4107142857142858,0.6428571428571429,6.3392857142857135,0.6071428571428571,1.2678571428571428,0.44642857142857145,1.25,0.23214285714285715,1.0714285714285714
2020,ankle,sprained,dtd,F,200.7,216.5,266.7,230.0,11.3%,29,2020,31.28787878787879,13.1,66.0,2.984848484848485,2.560606060606061,7.363636363636362,0.9545454545454546,0.7121212121212122,1.4393939393939394,6.878787878787879,0.9090909090909092,6.378787878787879
2015,back,spasms,dtd,G,193.0,,,190.0,,30,2015,28.2,21.8,35.0,1.8571428571428568,1.2,15.2,2.771428571428572,2.085714285714286,0.8,2.2285714285714286,0.2571428571428571,1.8571428571428568
2012,ankle,sprained,dnp,C,213.4,229.9,288.3,268.0,12.9%,32,2012,18.48611111111111,12.4,72.0,2.0277777777777777,0.7083333333333334,4.4444444444444455,0.8888888888888888,0.0,0.2222222222222222,0.2638888888888889,1.7916666666666667,3.4305555555555562
2012,calf,sore,dnp,G,190.5,198.8,248.9,200.0,,27,2012,37.905660377358494,26.2,53.0,2.8679245283018866,3.5283018867924527,21.30188679245283,5.69811320754717,1.6792452830188682,1.2075471698113207,9.69811320754717,0.6037735849056604,3.2641509433962264
2014,knee,sore,dnp,C-F,208.3,217.2,274.3,235.0,6.0%,26,2014,15.79310344827586,20.2,29.0,1.8965517241379308,0.8965517241379308,6.689655172413793,1.3793103448275863,0.0,0.27586206896551724,0.4482758620689655,2.827586206896552,2.896551724137931
2013,knee,sore,dnp,F,203.2,218.4,273.1,215.0,8.0%,27,2013,32.92682926829269,18.4,41.0,1.7804878048780488,1.8536585365853653,10.829268292682926,1.9268292682926829,0.7073170731707317,1.6829268292682926,3.292682926829269,1.0,4.243902439024391
2011,ankle,sprained,dnp,F-C,210.8,,,250.0,,24,2011,31.426666666666666,19.6,75.0,3.72,1.8533333333333333,12.52,2.64,0.013333333333333334,0.5466666666666666,1.653333333333333,2.986666666666667,5.506666666666668
2013,ankle,sprained,dnp,G,188.0,201.9,250.2,186.0,4.5%,24,2013,33.07575757575758,19.1,66.0,2.196969696969697,2.0303030303030303,12.590909090909092,2.121212121212121,0.7727272727272727,1.606060606060606,4.863636363636363,0.3181818181818182,2.090909090909091
2016,knee,sore,dtd,C-F,210.8,215.3,268.0,249.0,11.4%,27,2016,18.61111111111111,11.2,54.0,1.8333333333333333,0.8333333333333334,4.314814814814815,0.35185185185185186,0.0,0.6481481481481481,0.5,1.7592592592592593,3.314814814814815
2019,groin,injury,dtd,G,193.0,,,190.0,,35,2020,31.302631578947373,21.9,76.0,1.6973684210526316,1.3289473684210529,18.05263157894737,3.0,3.1578947368421053,0.42105263157894735,2.7105263157894743,0.2631578947368421,2.1842105263157894
2018,knee,sprained,indefinitely,G,193.0,207.0,254.0,210.0,,24,2019,29.32692307692308,24.7,52.0,3.3461538461538463,2.8846153846153846,13.442307692307693,1.6153846153846154,0.8269230769230769,2.0,5.961538461538463,0.4615384615384616,3.7884615384615374
2018,calf,injury,dtd,F,200.7,212.1,265.4,210.0,4.5%,27,2018,23.453125,13.0,64.0,2.578125,0.921875,6.703125,1.34375,0.796875,0.71875,1.0,1.078125,2.96875
2014,ankle,sore,dnp,G-F,198.1,211.5,264.2,220.0,7.1%,24,2014,31.01538461538461,22.3,65.0,2.046153846153846,1.969230769230769,15.184615384615386,3.2307692307692317,0.6923076923076923,1.3846153846153846,3.5230769230769234,0.8615384615384616,3.5538461538461537
2012,hamstring,strained,dnp,F,200.7,,,215.0,,29,2012,39.0,20.2,48.0,2.5,2.083333333333333,15.604166666666664,4.375,0.7291666666666666,1.2291666666666667,2.4166666666666665,1.5,6.708333333333332
2014,knee,injury,dnp,F-C,213.4,210.2,269.2,245.0,7.5%,28,2014,17.176470588235293,23.4,51.0,2.411764705882353,1.0784313725490196,8.235294117647058,1.6862745098039216,0.0,0.29411764705882354,0.6666666666666666,1.2549019607843137,2.392156862745098
2010,groin,strained,indefinitely,C,210.8,,,255.0,,29,2011,25.902439024390244,15.1,82.0,3.0731707317073167,1.5,8.134146341463415,1.1829268292682926,0.0,0.5121951219512195,0.7804878048780488,2.914634146341464,6.646341463414633
2011,knee,bruised,dnp,G-F,200.7,213.4,255.3,210.0,6.8%,25,2011,19.20270270270269,21.4,74.0,1.9864864864864864,0.7567567567567568,8.635135135135135,1.4054054054054057,0.9324324324324323,0.3783783783783784,0.6486486486486487,0.2702702702702703,1.108108108108108
2013,ankle,sprained,dnp,C-F,205.7,,,255.0,,21,2014,27.325,10.2,80.0,2.4375,1.025,4.825,0.925,0.0,0.35,0.4375,2.425,4.85
2013,foot,injury,dnp,C,210.8,216.5,270.5,230.0,4.8%,27,2013,30.390625,15.8,64.0,2.53125,1.4375,10.1875,2.40625,0.0,0.640625,2.5,3.78125,6.046875
2013,hamstring,strained,dnp,F-G,203.2,214.0,269.9,250.0,6.7%,28,2013,37.516129032258064,32.0,62.0,1.5483870967741935,3.435483870967741,27.14516129032258,6.241935483870968,0.8709677419354839,1.85483870967742,6.241935483870968,1.5161290322580645,6.419354838709677
2018,ankle,sprained,indefinitely,F,210.8,218.4,275.6,230.0,8.9%,23,2019,22.506849315068493,26.0,73.0,1.7808219178082192,1.4109589041095891,13.205479452054794,1.643835616438356,1.095890410958904,0.6849315068493149,1.6849315068493151,2.1780821917808217,4.6438356164383565
2019,calf,strained,dtd,G,195.6,,,186.0,,25,2020,21.24,19.0,25.0,2.16,1.68,9.16,2.04,0.96,0.96,3.08,0.8,1.88
2012,ankle,sprained,dnp,F,208.3,,,225.0,,23,2012,34.8125,18.5,48.0,2.4375,1.2083333333333333,15.916666666666664,5.395833333333332,1.7291666666666667,0.7916666666666666,1.7083333333333333,1.0,3.7708333333333335
2019,knee,sore,dtd,F,200.7,221.0,269.2,230.0,5.4%,27,2019,23.33333333333333,30.6,9.0,1.0,1.7777777777777777,16.22222222222222,3.4444444444444446,1.2222222222222223,2.0,2.333333333333333,0.6666666666666666,4.0
2013,shoulder,sore,dnp,G,193.0,,,190.0,,28,2013,27.153846153846153,19.2,65.0,1.4153846153846157,1.0461538461538462,11.553846153846154,2.2,1.7230769230769232,0.4153846153846154,2.523076923076923,0.2769230769230769,2.0307692307692307
2014,hip,injury,season,F,208.3,217.2,270.5,249.0,,31,2015,19.548387096774192,10.7,31.0,2.096774193548387,0.7741935483870968,4.806451612903227,0.6774193548387096,0.0,0.25806451612903225,0.7741935483870968,1.7741935483870968,3.838709677419355
2011,knee,bruised,dnp,G-F,200.7,213.4,255.3,210.0,6.8%,25,2011,19.20270270270269,21.4,74.0,1.9864864864864864,0.7567567567567568,8.635135135135135,1.4054054054054057,0.9324324324324323,0.3783783783783784,0.6486486486486487,0.2702702702702703,1.108108108108108
2019,ankle,sprained,dtd,F,203.2,220.3,271.8,210.0,3.8%,24,2019,20.33333333333333,16.0,81.0,1.9135802469135803,0.6666666666666666,8.419753086419753,2.0,0.3950617283950617,0.382716049382716,0.7037037037037037,1.0617283950617284,2.8765432098765427
2011,hip,strained,dnp,G,200.7,208.9,264.2,210.0,,31,2011,33.23529411764706,18.1,51.0,1.9803921568627447,1.3725490196078431,12.725490196078427,2.2745098039215685,1.4313725490196083,1.2745098039215683,2.4509803921568643,0.35294117647058826,3.0588235294117645
2017,knee,tendinitis,dtd,G,193.0,207.0,254.0,210.0,,23,2018,17.08974358974359,14.2,78.0,2.2820512820512806,1.1410256410256407,3.756410256410257,0.4615384615384616,0.2692307692307692,1.0,2.41025641025641,0.3076923076923077,1.8205128205128205
2011,knee,sore,dnp,F,205.7,,,240.0,,30,2011,32.573170731707314,22.7,82.0,3.0,1.9878048780487805,16.20731707317073,2.5365853658536586,0.012195121951219513,0.7682926829268293,2.0609756097560976,2.1341463414634148,6.463414634146342
