,Unnamed: 0,Date,Team,Notes,Player,dateTime,Year,Tokenized Notes,Body,Injury,Severity,Player_Identifier
423,431,2011-02-09,Wizards,sprained left ankle (DNP),Jianlian Yi,2011-02-09,2011,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
432,440,2011-02-11,Raptors,sore left foot (DNP),Alex Ajinca,2011-02-11,2011,"['sore', 'left', 'foot', '(', 'dnp', ')']","['left', 'foot']",['sore'],['dnp'],
434,442,2011-02-11,Timberwolves,strained left hip flexor (DNP),Darko Milicic,2011-02-11,2011,"['strained', 'left', 'hip', 'flexor', '(', 'dnp', ')']","['left', 'hip', 'flexor']",['strained'],['dnp'],
436,444,2011-02-11,Bucks,back spasms (DNP),Larry Sanders ,2011-02-11,2011,"['back', 'spasms', '(', 'dnp', ')']",['back'],['spasms'],['dnp'],
437,445,2011-02-12,Cavaliers,surgery on right ankle to repair torn tendon (date approximate),Anderson Varejao,2011-02-12,2011,"['surgery', 'on', 'right', 'ankle', 'to', 'repair', 'torn', 'tendon', '(', 'date', 'approximate', ')']","['right', 'ankle', 'tendon']","['surgery', 'torn']",[],
439,447,2011-02-12,Timberwolves,strained left hip flexor (DNP),Darko Milicic,2011-02-12,2011,"['strained', 'left', 'hip', 'flexor', '(', 'dnp', ')']","['left', 'hip', 'flexor']",['strained'],['dnp'],
446,454,2011-02-15,Bobcats,groin injury (DNP),Eduardo Najera,2011-02-15,2011,"['groin', 'injury', '(', 'dnp', ')']",['groin'],['injury'],['dnp'],
452,460,2011-02-16,Bucks,right eye contusion (DNP),Ersan Ilyasova,2011-02-16,2011,"['right', 'eye', 'contusion', '(', 'dnp', ')']","['right', 'eye']",['contusion'],['dnp'],
461,469,2011-02-17,Mavericks,illness (DTD),Jose Barea ,2011-02-17,2011,"['illness', '(', 'dtd', ')']",[],['illness'],['dtd'],
463,471,2011-02-21,Kings,left calf injury (DNP),Francisco Garcia,2011-02-21,2011,"['left', 'calf', 'injury', '(', 'dnp', ')']","['left', 'calf']",['injury'],['dnp'],
464,475,2011-02-23,Blazers,left hand injury (DTD),Sean Marks,2011-02-23,2011,"['left', 'hand', 'injury', '(', 'dtd', ')']","['left', 'hand']",['injury'],['dtd'],
467,478,2011-02-23,Suns,illness (DTD),Zabian Dowdell,2011-02-23,2011,"['illness', '(', 'dtd', ')']",[],['illness'],['dtd'],dowdeza01
470,481,2011-02-25,Nuggets,sprained ankle (DTD),Melvin Ely,2011-02-25,2011,"['sprained', 'ankle', '(', 'dtd', ')']",['ankle'],['sprained'],['dtd'],elyme01
475,487,2011-02-25,Kings,strained left calf (DNP),Francisco Garcia,2011-02-25,2011,"['strained', 'left', 'calf', '(', 'dnp', ')']","['left', 'calf']",['strained'],['dnp'],
476,488,2011-02-26,Bucks,concussion (DNP),Ersan Ilyasova,2011-02-26,2011,"['concussion', '(', 'dnp', ')']",[],['concussion'],['dnp'],
477,489,2011-02-26,Kings,strained left calf (DNP),Francisco Garcia,2011-02-26,2011,"['strained', 'left', 'calf', '(', 'dnp', ')']","['left', 'calf']",['strained'],['dnp'],
488,500,2011-02-28,Kings,strained left calf (DNP),Francisco Garcia,2011-02-28,2011,"['strained', 'left', 'calf', '(', 'dnp', ')']","['left', 'calf']",['strained'],['dnp'],
490,502,2011-03-01,Blazers,illness / flu (DNP),Rudy Fernandez,2011-03-01,2011,"['illness', '/', 'flu', '(', 'dnp', ')']",[],"['illness', 'flu']",['dnp'],
501,513,2011-03-04,Bucks,concussion (DNP),Ersan Ilyasova,2011-03-04,2011,"['concussion', '(', 'dnp', ')']",[],['concussion'],['dnp'],
507,519,2011-03-04,Timberwolves,gastroenteritis / food poisoning (DNP),Wes Johnson,2011-03-04,2011,"['gastroenteritis', '/', 'food', 'poisoning', '(', 'dnp', ')']",[],[],['dnp'],
511,523,2011-03-05,Timberwolves,flu (DNP),Wes Johnson,2011-03-05,2011,"['flu', '(', 'dnp', ')']",[],['flu'],['dnp'],
512,524,2011-03-06,Bucks,concussion (DNP),Ersan Ilyasova,2011-03-06,2011,"['concussion', '(', 'dnp', ')']",[],['concussion'],['dnp'],
523,535,2011-03-08,Bucks,concussion (DNP),Ersan Ilyasova,2011-03-08,2011,"['concussion', '(', 'dnp', ')']",[],['concussion'],['dnp'],
528,540,2011-03-09,Bucks,concussion (DNP),Ersan Ilyasova,2011-03-09,2011,"['concussion', '(', 'dnp', ')']",[],['concussion'],['dnp'],
534,546,2011-03-09,Raptors,sore right knee (DNP),Alex Ajinca,2011-03-09,2011,"['sore', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['sore'],['dnp'],
540,552,2011-03-11,Raptors,sore right knee (DNP),Alex Ajinca,2011-03-11,2011,"['sore', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['sore'],['dnp'],
541,553,2011-03-12,Bucks,concussion (DNP),Ersan Ilyasova,2011-03-12,2011,"['concussion', '(', 'dnp', ')']",[],['concussion'],['dnp'],
571,583,2011-03-19,Blazers,right knee inflammation (DTD),Armon Johnson,2011-03-19,2011,"['right', 'knee', 'inflammation', '(', 'dtd', ')']","['right', 'knee']",['inflammation'],['dtd'],johnsar02
609,622,2011-03-27,Timberwolves,hip injury (DNP),Nikola Pekovic,2011-03-27,2011,"['hip', 'injury', '(', 'dnp', ')']",['hip'],['injury'],['dnp'],
626,639,2011-03-30,Bucks,back spasms (DNP),Larry Sanders ,2011-03-30,2011,"['back', 'spasms', '(', 'dnp', ')']",['back'],['spasms'],['dnp'],
632,645,2011-03-30,Nets,sore left knee (DNP),Ben Uzoh,2011-03-30,2011,"['sore', 'left', 'knee', '(', 'dnp', ')']","['left', 'knee']",['sore'],['dnp'],uzohbe01
648,662,2011-04-02,Timberwolves,sprained left ankle (DNP),Darko Milicic,2011-04-02,2011,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
650,664,2011-04-03,Bobcats,lower back spasms (DNP),Eduardo Najera,2011-04-03,2011,"['lower', 'back', 'spasms', '(', 'dnp', ')']",['back'],['spasms'],['dnp'],
662,676,2011-04-05,Bobcats,lower back spasms (DNP),Eduardo Najera,2011-04-05,2011,"['lower', 'back', 'spasms', '(', 'dnp', ')']",['back'],['spasms'],['dnp'],
675,689,2011-04-06,Bobcats,lower back spasms (DNP),Eduardo Najera,2011-04-06,2011,"['lower', 'back', 'spasms', '(', 'dnp', ')']",['back'],['spasms'],['dnp'],
692,706,2011-04-08,Bobcats,lower back spasms (DNP),Eduardo Najera,2011-04-08,2011,"['lower', 'back', 'spasms', '(', 'dnp', ')']",['back'],['spasms'],['dnp'],
697,711,2011-04-08,Knicks,surgery on knee (date approximate),Andy Rautins,2011-04-08,2011,"['surgery', 'on', 'knee', '(', 'date', 'approximate', ')']",['knee'],['surgery'],[],
701,715,2011-04-08,Raptors,sore/strained left hamstring (DNP),Jose Calderon,2011-04-08,2011,"['sore/strained', 'left', 'hamstring', '(', 'dnp', ')']","['left', 'hamstring']",[],['dnp'],
713,727,2011-04-09,Timberwolves,sprained left ankle (DNP),Darko Milicic,2011-04-09,2011,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
716,730,2011-04-10,Bobcats,lower back spasms (DNP),Eduardo Najera,2011-04-10,2011,"['lower', 'back', 'spasms', '(', 'dnp', ')']",['back'],['spasms'],['dnp'],
725,739,2011-04-10,Raptors,sore/strained left hamstring (DNP),Jose Calderon,2011-04-10,2011,"['sore/strained', 'left', 'hamstring', '(', 'dnp', ')']","['left', 'hamstring']",[],['dnp'],
727,741,2011-04-11,Bobcats,lower back spasms (DNP),Eduardo Najera,2011-04-11,2011,"['lower', 'back', 'spasms', '(', 'dnp', ')']",['back'],['spasms'],['dnp'],
752,766,2011-04-11,Timberwolves,sprained left ankle (DNP),Darko Milicic,2011-04-11,2011,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
769,783,2011-04-13,Bobcats,lower back spasms (DNP),Eduardo Najera,2011-04-13,2011,"['lower', 'back', 'spasms', '(', 'dnp', ')']",['back'],['spasms'],['dnp'],
779,793,2011-04-13,Grizzlies,rest (DNP),Mike Conley Jr.,2011-04-13,2011,"['rest', '(', 'dnp', ')']",[],['rest'],"['rest', 'dnp']",
802,816,2011-04-13,Raptors,sore/strained left hamstring (DNP),Jose Calderon,2011-04-13,2011,"['sore/strained', 'left', 'hamstring', '(', 'dnp', ')']","['left', 'hamstring']",[],['dnp'],
807,821,2011-04-13,Timberwolves,sprained left ankle (DNP),Darko Milicic,2011-04-13,2011,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
817,831,2011-05-10,Bobcats,surgery on left hip to repair torn labrum (out indefinitely),Gerald Henderson ,2011-05-10,2011,"['surgery', 'on', 'left', 'hip', 'to', 'repair', 'torn', 'labrum', '(', 'out', 'indefinitely', ')']","['left', 'hip', 'labrum']","['surgery', 'torn']",['indefinitely'],
818,832,2011-05-25,Bulls,stress fracture in left fibula (out for season),Omer Asik,2011-05-25,2011,"['stress', 'fracture', 'in', 'left', 'fibula', '(', 'out', 'for', 'season', ')']",['left'],"['stress', 'fracture']",['season'],
830,844,2011-12-16,Bobcats,surgery on left knee to repair torn cartilage (out indefinitely),Eduardo Najera,2011-12-16,2011,"['surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'cartilage', '(', 'out', 'indefinitely', ')']","['left', 'knee']","['surgery', 'torn']",['indefinitely'],
835,849,2011-12-25,Blazers,surgery on left knee (out indefinitely),Greg Oden,2011-12-25,2011,"['surgery', 'on', 'left', 'knee', '(', 'out', 'indefinitely', ')']","['left', 'knee']",['surgery'],['indefinitely'],odengr01
848,862,2011-12-26,76ers,toe injury (DTD),Andres Nocioni,2011-12-26,2011,"['toe', 'injury', '(', 'dtd', ')']",['toe'],['injury'],['dtd'],
851,865,2011-12-26,Timberwolves,groin injury (DTD),Nikola Pekovic,2011-12-26,2011,"['groin', 'injury', '(', 'dtd', ')']",['groin'],['injury'],['dtd'],
861,875,2011-12-30,Grizzlies,sprained left ankle (DNP),Mike Conley Jr.,2011-12-30,2011,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
865,879,2011-12-30,Timberwolves,strained left hamstring (DNP),Jose Barea ,2011-12-30,2011,"['strained', 'left', 'hamstring', '(', 'dnp', ')']","['left', 'hamstring']",['strained'],['dnp'],
866,880,2011-12-30,Timberwolves,surgery on left knee to repair torn meniscus (DNP),Malcom Lee,2011-12-30,2011,"['surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'meniscus', '(', 'dnp', ')']","['left', 'knee', 'meniscus']","['surgery', 'torn']",['dnp'],
867,881,2011-12-30,Timberwolves,strained left adductor muscle (DNP),Nikola Pekovic,2011-12-30,2011,"['strained', 'left', 'adductor', 'muscle', '(', 'dnp', ')']","['left', 'adductor']",['strained'],['dnp'],
873,888,2012-01-01,Grizzlies,sprained left ankle (DNP),Mike Conley Jr.,2012-01-01,2012,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
876,891,2012-01-01,Timberwolves,recovering from surgery on left knee to repair torn meniscus (DNP),Malcom Lee,2012-01-01,2012,"['recovering', 'from', 'surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'meniscus', '(', 'dnp', ')']","['left', 'knee', 'meniscus']","['surgery', 'torn']",['dnp'],
878,893,2012-01-02,Bucks,illness (DNP),Mike Dunleavy Jr.,2012-01-02,2012,"['illness', '(', 'dnp', ')']",[],['illness'],['dnp'],
879,894,2012-01-02,Heat,left foot infection (DNP),Mickell Gladness,2012-01-02,2012,"['left', 'foot', 'infection', '(', 'dnp', ')']","['left', 'foot']",['infection'],['dnp'],gladnmi01
883,898,2012-01-02,Spurs,broken bone in left hand (out indefinitely),Manu Ginobili,2012-01-02,2012,"['broken', 'bone', 'in', 'left', 'hand', '(', 'out', 'indefinitely', ')']","['bone', 'left', 'hand']",['broken'],['indefinitely'],
884,899,2012-01-02,Timberwolves,strained left hamstring (DNP),Jose Barea ,2012-01-02,2012,"['strained', 'left', 'hamstring', '(', 'dnp', ')']","['left', 'hamstring']",['strained'],['dnp'],
885,900,2012-01-02,Timberwolves,recovering from surgery on left knee to repair torn meniscus (DNP),Malcom Lee,2012-01-02,2012,"['recovering', 'from', 'surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'meniscus', '(', 'dnp', ')']","['left', 'knee', 'meniscus']","['surgery', 'torn']",['dnp'],
888,903,2012-01-03,Bucks,sore groin (DNP),Mike Dunleavy Jr.,2012-01-03,2012,"['sore', 'groin', '(', 'dnp', ')']",['groin'],['sore'],['dnp'],
891,906,2012-01-04,76ers,strained back (DNP),Nikola Vucevic,2012-01-04,2012,"['strained', 'back', '(', 'dnp', ')']",['back'],['strained'],['dnp'],
896,911,2012-01-04,Heat,left foot infection (DNP),Mickell Gladness,2012-01-04,2012,"['left', 'foot', 'infection', '(', 'dnp', ')']","['left', 'foot']",['infection'],['dnp'],gladnmi01
901,916,2012-01-04,Timberwolves,strained left hamstring (DNP),Jose Barea ,2012-01-04,2012,"['strained', 'left', 'hamstring', '(', 'dnp', ')']","['left', 'hamstring']",['strained'],['dnp'],
902,917,2012-01-04,Timberwolves,recovering from surgery on left knee to repair torn meniscus (DNP),Malcom Lee,2012-01-04,2012,"['recovering', 'from', 'surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'meniscus', '(', 'dnp', ')']","['left', 'knee', 'meniscus']","['surgery', 'torn']",['dnp'],
904,919,2012-01-05,Bucks,sore groin (DNP),Mike Dunleavy Jr.,2012-01-05,2012,"['sore', 'groin', '(', 'dnp', ')']",['groin'],['sore'],['dnp'],
906,921,2012-01-05,Heat,left foot infection (DNP),Mickell Gladness,2012-01-05,2012,"['left', 'foot', 'infection', '(', 'dnp', ')']","['left', 'foot']",['infection'],['dnp'],gladnmi01
907,922,2012-01-05,Kings,personal reasons (DNP),Donte Greene,2012-01-05,2012,"['personal', 'reasons', '(', 'dnp', ')']",[],[],['dnp'],
919,934,2012-01-06,Timberwolves,strained left hamstring (DNP),Jose Barea ,2012-01-06,2012,"['strained', 'left', 'hamstring', '(', 'dnp', ')']","['left', 'hamstring']",['strained'],['dnp'],
920,935,2012-01-06,Timberwolves,recovering from surgery on left knee to repair torn meniscus (DNP),Malcom Lee,2012-01-06,2012,"['recovering', 'from', 'surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'meniscus', '(', 'dnp', ')']","['left', 'knee', 'meniscus']","['surgery', 'torn']",['dnp'],
932,948,2012-01-07,Nuggets,bruised left heel (DNP),Nene Hilario ,2012-01-07,2012,"['bruised', 'left', 'heel', '(', 'dnp', ')']",['left'],['bruised'],['dnp'],
943,959,2012-01-08,Timberwolves,strained left hamstring (DNP),Jose Barea ,2012-01-08,2012,"['strained', 'left', 'hamstring', '(', 'dnp', ')']","['left', 'hamstring']",['strained'],['dnp'],
944,960,2012-01-08,Timberwolves,recovering from surgery on left knee to repair torn meniscus (DNP),Malcom Lee,2012-01-08,2012,"['recovering', 'from', 'surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'meniscus', '(', 'dnp', ')']","['left', 'knee', 'meniscus']","['surgery', 'torn']",['dnp'],
955,971,2012-01-09,Timberwolves,recovering from surgery on left knee to repair torn meniscus (DNP),Malcom Lee,2012-01-09,2012,"['recovering', 'from', 'surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'meniscus', '(', 'dnp', ')']","['left', 'knee', 'meniscus']","['surgery', 'torn']",['dnp'],
962,978,2012-01-10,Kings,bruised left thigh (DNP),Marcus Thornton ,2012-01-10,2012,"['bruised', 'left', 'thigh', '(', 'dnp', ')']",['left'],['bruised'],['dnp'],
967,983,2012-01-10,Timberwolves,recovering from surgery on left knee to repair torn meniscus (DNP),Malcom Lee,2012-01-10,2012,"['recovering', 'from', 'surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'meniscus', '(', 'dnp', ')']","['left', 'knee', 'meniscus']","['surgery', 'torn']",['dnp'],
993,1009,2012-01-13,Lakers,rest (DNP),Ron Artest,2012-01-13,2012,"['rest', '(', 'dnp', ')']",[],['rest'],"['rest', 'dnp']",
994,1010,2012-01-13,Nets,sprained left ankle (DNP),Dennis Horner,2012-01-13,2012,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
1001,1017,2012-01-13,Timberwolves,sprained left ankle (DNP),Jose Barea ,2012-01-13,2012,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
1002,1018,2012-01-13,Timberwolves,recovering from surgery on left knee to repair torn meniscus (DNP),Malcom Lee,2012-01-13,2012,"['recovering', 'from', 'surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'meniscus', '(', 'dnp', ')']","['left', 'knee', 'meniscus']","['surgery', 'torn']",['dnp'],
1014,1030,2012-01-14,Timberwolves,sprained left ankle (DNP),Jose Barea ,2012-01-14,2012,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
1015,1031,2012-01-14,Timberwolves,recovering from surgery on left knee to repair torn meniscus (DNP),Malcom Lee,2012-01-14,2012,"['recovering', 'from', 'surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'meniscus', '(', 'dnp', ')']","['left', 'knee', 'meniscus']","['surgery', 'torn']",['dnp'],
1020,1036,2012-01-15,Spurs,gastroenteritis (DNP),Malcolm Thomas ,2012-01-15,2012,"['gastroenteritis', '(', 'dnp', ')']",[],[],['dnp'],
1032,1048,2012-01-16,Timberwolves,sprained left ankle (DNP),Jose Barea ,2012-01-16,2012,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
1033,1049,2012-01-16,Timberwolves,recovering from surgery on left knee to repair torn meniscus (DNP),Malcom Lee,2012-01-16,2012,"['recovering', 'from', 'surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'meniscus', '(', 'dnp', ')']","['left', 'knee', 'meniscus']","['surgery', 'torn']",['dnp'],
1048,1064,2012-01-18,Knicks,sore right knee (DNP),Bill Walker,2012-01-18,2012,"['sore', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['sore'],['dnp'],
1058,1074,2012-01-18,Timberwolves,recovering from surgery on left knee to repair torn meniscus (DNP),Malcom Lee,2012-01-18,2012,"['recovering', 'from', 'surgery', 'on', 'left', 'knee', 'to', 'repair', 'torn', 'meniscus', '(', 'dnp', ')']","['left', 'knee', 'meniscus']","['surgery', 'torn']",['dnp'],
